	Sample ID	Study	Project ID	Condition ID	Strain Description	Strain	Base Media	Carbon Source (g/L)	Nitrogen Source (g/L)	Electron Acceptor	Trace Element Mixture	Supplement	Antibiotic	Culture Type	Evolved Sample	Isolate Type	Sequencing Machine	Additional Details	DOI	GEO	Simple_sample_id	Temperature (C)	pH	Growth Rate (1/hr)	Alignment	Replicate #	Doubling_time
162	pgi__pgi_ale2__1	PGI KO Evolution	pgi	pgi_ale2	Escherichia coli PGI.2	MG1655	M9	glucose(2)	NH4Cl(1)	O2	sauer trace element mixture			Batch	Endpoint	Clonal		CCK PGI A2 F107 I1	doi.org/10.1128/AEM.00823-18		pgi__pgi_ale2	37	7.0	0.6	90.17	1	1.1552453009332422
163	pgi__pgi_ale3__1	PGI KO Evolution	pgi	pgi_ale3	Escherichia coli PGI.3	MG1655	M9	glucose(2)	NH4Cl(1)	O2	sauer trace element mixture			Batch	Endpoint	Clonal		CCK PGI A3 F108 I1	doi.org/10.1128/AEM.00823-18		pgi__pgi_ale3	37	7.0	0.65	95.97	1	1.0663802777845313
164	pgi__pgi_ale5__1	PGI KO Evolution	pgi	pgi_ale5	Escherichia coli PGI.5	MG1655	M9	glucose(2)	NH4Cl(1)	O2	sauer trace element mixture			Batch	Endpoint	Clonal		CCK PGI A5 F109 I1	doi.org/10.1128/AEM.00823-18		pgi__pgi_ale5	37	7.0	0.62	92.92	1	1.1179793234837827
165	pgi__pgi_ale6__1	PGI KO Evolution	pgi	pgi_ale6	Escherichia coli PGI.6	MG1655	M9	glucose(2)	NH4Cl(1)	O2	sauer trace element mixture			Batch	Endpoint	Clonal		CCK PGI A6 F110 I1	doi.org/10.1128/AEM.00823-18		pgi__pgi_ale6	37	7.0	0.68	86.39	1	1.019334089058743
166	pgi__pgi_ale7__1	PGI KO Evolution	pgi	pgi_ale7	Escherichia coli PGI.7	MG1655	M9	glucose(2)	NH4Cl(1)	O2	sauer trace element mixture			Batch	Endpoint	Clonal		CCK PGI A7 F97 I1	doi.org/10.1128/AEM.00823-18		pgi__pgi_ale7	37	7.0	0.66	95.15	1	1.050223000848402
167	pgi__pgi_ale8__1	PGI KO Evolution	pgi	pgi_ale8	Escherichia coli PGI.8	MG1655	M9	glucose(2)	NH4Cl(1)	O2	sauer trace element mixture			Batch	Endpoint	Clonal		CCK PGI A8 F110 I1	doi.org/10.1128/AEM.00823-18		pgi__pgi_ale8	37	7.0	0.68	95.25	1	1.019334089058743
168	ica__wt_glc__1	ICA	ica	wt_glc	Escherichia coli K-12 MG1655	MG1655	M9	glucose(2)	NH4Cl(1)	O2	sauer trace element mixture			Batch	No		HiSeq 4000			GSE122295	ica__wt_glc	37	7.0	0.6226666666666667	95.16666666666667	6	1.1131914034688628
172	ica__arg_sbt__1	ICA	ica	arg_sbt	Escherichia coli K-12 MG1655	MG1655	M9	sorbitol(4)	NH4Cl(1)	O2	sauer trace element mixture	L-arginine (5.75mM)		Batch	No		HiSeq 4000			GSE122295	ica__arg_sbt	37	7.0	0.27	95.91	2	2.567211779851649
174	ica__cytd_rib__1	ICA	ica	cytd_rib	Escherichia coli K-12 MG1655	MG1655	M9	D-ribose(4)	NH4Cl(1)	O2	sauer trace element mixture	cytidine (1mM)		Batch	No		HiSeq 4000			GSE122295	ica__cytd_rib	37	7.0	0.31	95.83500000000001	2	2.2359586469675654
176	ica__gth__1	ICA	ica	gth	Escherichia coli K-12 MG1655	MG1655	M9	glucose(2)	NH4Cl(1)	O2	sauer trace element mixture w/o MgSO4	glutathione (1mM)		Batch	No		HiSeq 4000			GSE122295	ica__gth	37	7.0	0.07	95.845	2	9.902102579427789
178	ica__leu_glcr__1	ICA	ica	leu_glcr	Escherichia coli K-12 MG1655	MG1655	M9	glucarate(4)	NH4Cl(1)	O2	sauer trace element mixture	leucine (10mM)		Batch	No		HiSeq 4000			GSE122295	ica__leu_glcr	37	7.0	0.29	95.37	2	2.3901626915860184
180	ica__met_glc__1	ICA	ica	met_glc	Escherichia coli K-12 MG1655	MG1655	M9	glucose(2)	NH4Cl(1)	O2	sauer trace element mixture	methionine (5mM)		Batch	No		HiSeq 4000			GSE122295	ica__met_glc	37	7.0	0.74	95.55000000000001	2	0.9366853791350612
182	ica__no3_anaero__1	ICA	ica	no3_anaero	Escherichia coli K-12 MG1655	MG1655	M9	glucose(2)	NH4Cl(1)	KNO3(20mM)	sauer trace element mixture			Batch	No		HiSeq 4000			GSE122295	ica__no3_anaero	37	7.0	0.35	94.08000000000001	2	1.9804205158855581
184	ica__phe_acgam__1	ICA	ica	phe_acgam	Escherichia coli K-12 MG1655	MG1655	M9	N-acetylglucosamine(4)	NH4Cl(1)	O2	sauer trace element mixture	phenylalanine (5mM)		Batch	No		HiSeq 4000			GSE122295	ica__phe_acgam	37	7.0	0.63	96.38	2	1.100233619936421
186	ica__thm_gal__1	ICA	ica	thm_gal	Escherichia coli K-12 MG1655	MG1655	M9	galactose(4)	NH4Cl(1)	O2	sauer trace element mixture	thiamine (1uM)		Batch	No		HiSeq 4000			GSE122295	ica__thm_gal	37	7.0	0.34	96.05000000000001	2	2.038668178117486
188	ica__tyr_glcn__1	ICA	ica	tyr_glcn	Escherichia coli K-12 MG1655	MG1655	M9	gluconate(4)	NH4Cl(1)	O2	sauer trace element mixture	tyrosine (5mM)		Batch	No		HiSeq 4000			GSE122295	ica__tyr_glcn	37	7.0	0.57	95.44	2	1.2160476851928865
190	ica__ura_pyr__1	ICA	ica	ura_pyr	Escherichia coli K-12 MG1655	MG1655	M9	pyruvate(3.3)	NH4Cl(1)	O2	sauer trace element mixture	uracil (1 mM)		Batch	No		HiSeq 4000			GSE122295	ica__ura_pyr	37	7.0	0.27	93.865	2	2.567211779851649
194	ica__bw_delpurR_cytd__1	ICA	ica	bw_delpurR_cytd	Escherichia coli K-12 BW25113 del_purR	BW25113	M9	glucose(2)	NH4Cl(1)	O2	sauer trace element mixture	cytidine (1mM)		Batch	No		HiSeq 4000			GSE122295	ica__bw_delpurR_cytd	37	7.0	0.657	93.745	2	1.0550185396650613
196	ica__ade_glc__1	ICA	ica	ade_glc	Escherichia coli K-12 MG1655	MG1655	M9	glucose(2)	NH4Cl(1)	O2	sauer trace element mixture	adenine (100mg/L)		Batch	No		HiSeq 4000			GSE122295	ica__ade_glc	37	7.0	0.778	92.71	2	0.8909346793829631
198	ytf__wt_glc__1	yTF	ytf	wt_glc	Escherichia coli K-12 MG1655	MG1655	M9	glucose(2)	NH4Cl(1)	O2	sauer trace element mixture			Batch	No		HiSeq 4000		doi.org/10.1093/nar/gky752	GSE111094	ytf__wt_glc	37	7.0	0.685	96.375	2	1.0118936942480952
200	ytf__delyafC__1	yTF	ytf	delyafC	Escherichia coli K-12 MG1655 del_yafC	MG1655	M9	glucose(2)	NH4Cl(1)	O2	sauer trace element mixture		Kanamycin	Batch	No		HiSeq 4000		doi.org/10.1093/nar/gky752	GSE111094	ytf__delyafC	37	7.0	0.66	95.055	2	1.050223000848402
202	ytf__delyeiE__1	yTF	ytf	delyeiE	Escherichia coli K-12 MG1655 del_yeiE	MG1655	M9	glucose(2)	NH4Cl(1)	O2	sauer trace element mixture		Kanamycin	Batch	No		HiSeq 4000		doi.org/10.1093/nar/gky752	GSE111094	ytf__delyeiE	37	7.0	0.675	95.735	2	1.0268847119406597
204	ytf__delyiaJ__1	yTF	ytf	delyiaJ	Escherichia coli K-12 MG1655 del_yiaJ	MG1655	M9	glucose(2)	NH4Cl(1)	O2	sauer trace element mixture		Kanamycin	Batch	No		HiSeq 4000		doi.org/10.1093/nar/gky752	GSE111094	ytf__delyiaJ	37	7.0	0.66	94.85	2	1.050223000848402
206	ytf__delyieP__1	yTF	ytf	delyieP	Escherichia coli K-12 MG1655 del_yieP	MG1655	M9	glucose(2)	NH4Cl(1)	O2	sauer trace element mixture		Kanamycin	Batch	No		HiSeq 4000		doi.org/10.1093/nar/gky752	GSE111094	ytf__delyieP	37	7.0	0.665	94.435	2	1.0423265873081884
208	ytf__wt_ph5__1	yTF	ytf	wt_ph5	Escherichia coli K-12 MG1655	MG1655	M9	glucose(2)	NH4Cl(1)	O2	sauer trace element mixture		Kanamycin	Batch	No		HiSeq 4000		doi.org/10.1093/nar/gky752	GSE111094	ytf__wt_ph5	37	5.5	0.485	94.815	2	1.4291694444534955
210	ytf__wt_ph8__1	yTF	ytf	wt_ph8	Escherichia coli K-12 MG1655	MG1655	M9	glucose(2)	NH4Cl(1)	O2	sauer trace element mixture		Kanamycin	Batch	No		HiSeq 4000		doi.org/10.1093/nar/gky752	GSE111094	ytf__wt_ph8	37	8.5	0.65	94.72999999999999	2	1.0663802777845313
212	ytf__delybaO__1	yTF	ytf	delybaO	Escherichia coli K-12 MG1655 del_ybaO	MG1655	M9	glucose(2)	NH4Cl(1)	O2	sauer trace element mixture		Kanamycin	Batch	No		HiSeq 4000		doi.org/10.1093/nar/gky752	GSE111094	ytf__delybaO	37	7.0	0.62	94.86	2	1.1179793234837827
214	ytf__delybaQ__1	yTF	ytf	delybaQ	Escherichia coli K-12 MG1655 del_ybaQ	MG1655	M9	glucose(2)	NH4Cl(1)	O2	sauer trace element mixture		Kanamycin	Batch	No		HiSeq 4000		doi.org/10.1093/nar/gky752	GSE111094	ytf__delybaQ	37	7.0	0.655	94.695	2	1.0582399703205272
216	ytf__delybiH__1	yTF	ytf	delybiH	Escherichia coli K-12 MG1655 del_ybiH	MG1655	M9	glucose(2)	NH4Cl(1)	O2	sauer trace element mixture		Kanamycin	Batch	No		HiSeq 4000		doi.org/10.1093/nar/gky752	GSE111094	ytf__delybiH	37	7.0	0.665	95.79499999999999	2	1.0423265873081884
218	ytf__delydcI_ph5__1	yTF	ytf	delydcI_ph5	Escherichia coli K-12 MG1655 del_ydcI	MG1655	M9	glucose(2)	NH4Cl(1)	O2	sauer trace element mixture		Kanamycin	Batch	No		HiSeq 4000		doi.org/10.1093/nar/gky752	GSE111094	ytf__delydcI_ph5	37	5.5	0.385	94.37	2	1.800382287168689
